title,body,label
"이재명, 선거법 위반 상고심 소송서류 수령","연합뉴스더불어민주당 이재명 전 대표가 대법원이 발송한 소송기록접수통지서 등 소송 서류를 수령했다.11일 법조계에 따르면 이 전 대표는 전날 사무원을 통해 대법원이 발송한 소송기록접수 통지서와 상고장 부본, 국선변호인 선정 안내 고지서 등 소송서류를 받았다.앞서 대법원은 지난달 31일 이 전 대표에게 소송기록접수 통지서를 보냈으나 폐문부재(당사자가 없고 문이 닫혀있음)로 반송돼 지난 7일 법원 집행관에게 인편으로 직접 전달하도록 요청했다.한편 이 전 대표는 2021년 고(故) 김문기 성남도시개발공사 개발1처장 및 성남 백현동 한국식품연구원 부지의 용도변경 특혜 의혹과 관련해 허위사실을 공표해 선거법을 위반한 혐의로 재판에 넘겨졌다",0
"민주 ""국민의힘, 대선 나서려면 尹세력과 확실한 결별해야""","철저한 반성과 확실한 결별을 행동으로 보이라""고 촉구했다",1
상법 개정안에도 한덕수 ‘거부권’,“기업의 적극 경영 활동 저해” 국민연금법 개정안은 공포 한덕수 대통령 권한대행 겸 국무총리가 1일 이사의 주주 충실 의무를 담은 상법 개정안에 재의요구권(거부권)을 행사했다,0
"일본, 올해도 외교청서에 “독도는 일본 땅”","외교부 “즉각 철회 촉구”…2년째 한국을 ‘파트너’로 지칭 외교부, 일본 총괄공사 불러 항의 일본 외교청서 독도 표기와 관련해 외교부로 초치된 미바에 다이스케 주한 일본대사관 총괄공사가 8일 정부서울청사로 들어가고 있다",0
"이철규 의원 아들, 국과수 모발 정밀검사서 대마 '양성'",적발 당시 시행한 마약 검사는 음성 이철규 국민의힘 의원,0
"우 의장 ""대선·개헌 동시투표 제안""…민주당내 친명·비명계 반응 엇갈려","한 상태인데 국민이 공감할지 의문""이라고 비판했다",1
"尹, 관저 퇴거…""국민의 한사람으로 돌아가 나라 위한 새길 찾겠다""(종합)",있다,0
"박용진 ""한덕수 차출론? 자식은 많지만 제사 지낼 자식 없는 꼴""",가지고 있으면서 국민 통합의 어떤 그림을 또 제시할 줄 아는 사람이면 민주당으로서는 어렵죠,1
"기재차관, 최상목 美국채 투자 ""권익위에 이해충돌 확인할것""","달러 베팅을 했다고 하면 달러로 바꾸는 것이 낫지 국채를 사 모으면 금리 문제 때문에 오히려 이익이 감소하게 된다""고 반박했다",0
"이재명, 광명 붕괴사고에 ""내란 이후 사고 이어져...수색 만전 기해야""","더불어민주당 이재명 대선 예비후보는 경기 광명시에서 발생한 신안산선 공사 현장 붕괴 사고에, 구조 작업과 실종자 수색에 최선을 다해 달라고 관계 당국에 요청했습니다",0
"박균택 ""피고인 윤석열 '재구속' 당연히 해야..내란 재판도 6개월 안에 가능""",결정을 할 수밖에 없었을 거라고 그렇게 생각을 합니다,1
"오세훈, 대선 불출마...민주, 곧 대선 경선규칙 발표","주자로 꼽혀 오던 오 시장은 내일(13일) 대선 출마 선언을 예고한 상태였는데, 이를 하루 앞두고 불출마를 선언한 겁니다",0
우원식이 불붙인 개헌론… 민주당 내부 ‘비토론’이 관건,경남지사도 이날 페이스북을 통해 “우 의장의 개헌 추진 제안에 적극 동의하며 환영한다,0
"민주당 ""오세훈은 명태균 수사부터 받아야할 사람…불출마 당연한 결정""","""내란동조당, 대선에 나설자격 없음을 인정해야"" 윤 전 대통령 관저 퇴거에도 ""한결같은 진상 모습"" 오세훈 서울시장이 12일 서울 여의도 국민의힘 당사에서 대선 불출마를 선언한 뒤 기자회견장을 나서고 있다",1
박수 보내는 권영세-천하람,[서울=뉴시스] 이영환 기자 = 권영세(왼쪽부터) 국민의힘 비상대책위원장과 천하람 개혁신당 대표 권한대행이 7일 오후 서울 중구 한국프레스센터에서 열린 제69회 신문의 날 기념 축하연에서 박수를 보내고 있다,0
광명 신안산선 붕괴 사고 현장 점검하는 김동연 지사,[광명=뉴시스] 홍효식 기자 = 대선 출마를 선언한 김동연 경기도지사가 12일 오후 경기 광명시 신안산선 복선전철 5-2공구 붕괴 사고 현장을 찾아 사고 상황을 점검하고 있다,0
[윤정호의 앵커칼럼] 나라는 누가 지키나,"충돌에 휘말릴 만한 여유가 없다""고도 했습니다.1950년 미국의 극동 방위선에서 한국을 뺀 '애치슨 라인'이 연상됩니다",1
"""국민의힘, 연판장 돌렸다""..'한덕수 출마론' 두고 장예찬 분노 ""보수, 자존심도 없나""",어려운 과제를 양당이 좀 떠안게 된 것 같습니다,1
"윤 대통령, 탄핵심판 선고 불출석…""질서·경호 고려""",[앵커] 탄핵심판 변론에 직접 출석했던 윤석열 대통령은 내일(4일) 열리는 선고기일에는 출석하지 않기로 했습니다,0
[포토] 봉황기 내리는 대통령실,대통령실 관계자들이 4일 헌법재판소의 윤석열 대통령 파면 결정 이후 용산 대통령실 앞에 걸려 있던 대통령의 상징 봉황기(오른쪽)를 내리고 있다,0
"尹선고 전야, 화염병 제조법 올리고 ‘주먹질’ 부추기고…도넘은 선동","서울 마포구에 사는 직장인 박모 씨(26)는 “서울서부지법 폭력 난입 사태 때도 그렇고, 시위가 격화되면 통제가 가능할까 우려된다”며 “출퇴근 이외에는 외출을 삼가려고 한다”고 말했다",1
"여당 ""윤, 복귀해 민생 돌봐야...이, 유혈사태 망언""","[앵커] 윤 대통령 탄핵심판 선고가 다가올수록 여당은 '기각', '대통령 복귀'를 한목소리로 외치며 결집을 도모하는 분위기입니다",1
"합참의장, 중부전선 육군 5군단 찾아 ""DMZ 적 활동 세밀히 감시·분석하라""","김명수 의장, 캐나다 국방총장 만나 군사협력 강화방안 논의 김명수 합참의장은 3일 서부전선을 지키는 육군 5군단사령부를 방문해 적 도발에 효과적으로 대응할 수 있는 군사대비태세를 점검했다",1
"[인터뷰] 김문수 ""장관직 그만두며 尹과 통화…'이재명 대항마' 내가 적격""","김문수 전 고용노동부 장관 /TV조선 방송화면 캡처 김문수 전 고용노동부 장관이 9일 ""많은 국민들이 나를 '이재명 대항마'로 뽑아주신 것 같다""며 대선 출마 소회를 밝혔다",1
질문에 답하는 김동연 경기도지사,(광명=연합뉴스) 홍기원 기자 = 김동연 경기도지사가 12일 경기도 광명시 신안산선 지하터널 공사장 붕괴 사고 현장을 살펴본 후 취재진 질문에 답하고 있다,1
"민주, 최상목 탄핵 내일 추진…한덕수 탄핵도 준비","[앵커] 민주당은 내일, 윤 대통령 탄핵 심판 결과와 상관없이 최상목 경제부총리 탄핵을 추진한다는 계획입니다",0
"대표직 사퇴한 이재명 ""새로운 일 시작""…내일 영상 출사표","당 구성원 덕분이라며 '새로운 일을 시작한다'는 말로 대권 포부를 밝혔습니다.▶ 인터뷰 : 이재명 / 전 더불어민주당 대표- ""모두 여러분들의 덕분입니다",0
선관위 투·개표 시연회...부정선거 의혹 논박도,"[앵커] 21대 대선을 앞두고, 중앙선거관리위원회가 투개표 현장 시연회를 열었습니다",0
윤석열 대통령 탄핵심판 선고 전야[뉴시스Pic],메웠다,0
"민주 ""대선 승리 다짐 뻔뻔""…국민의힘 ""헌재, 민주당에도 책임 물어""",윤석열 전 대통령 파면 다음 날인 오늘(5일) 더불어민주당과 국민의힘은 서로를 향해 날을 세웠습니다,1
"한동훈, 비례대표 두고 “비례대표 폐지할 것” [현장영상]",오늘(10일) 한동훈 전 국민의힘 대표가 국회에서 대선 출마 선언 기자회견을 열었는데요,1
"민주 '당원 50% 여론조사 50%' 경선룰 결정…비명계 ""어대명 추대 경선"" 반발(종합)",오다 이같이 결정했다,1
"""김옥숙 변했네…이럴 수 있냐!"" 이순자 분노한 '오물통' 발언",「 제2부,1
"윤, 이번 주 관저 퇴거 유력‥'국민의힘 경선'에 영향력?","[뉴스데스크]◀ 앵커 ▶아직도 한남동 관저에 머무르고 있는 윤석열 전 대통령은 이르면 이번 주 후반 서초동 사저로 돌아갈 거라는 전망이 나오고 있습니다.당초 예상보다 퇴거가 늦어지고 있는 건데요.관저를 떠난 이후엔, 윤 전 대통령이 본격적으로 정치적 목소리를 내면서 국민의힘 경선 과정에도 영향력을 행사할 거란 관측이 나옵니다.홍의표 기자가 보도합니다.◀ 리포트 ▶파면된 윤석열 전 대통령이 한남동 관저에서 이르면 오는 11일쯤 퇴거할 계획인 것으로 알려졌습니다.파면 결정 일주일 만에 관저에서 나오는 셈인데, 56시간 만에 청와대를 떠났던 박근혜 전 대통령 때보다 훨씬 늦어지는 겁니다.윤 전 대통령은 우선 서초동 사저로 이동한 뒤, 경호가 용이한 제3의 장소로 거처를 옮기는 방안도 검토 중인 것으로 전해졌습니다.[박관천/전 청와대 공직기강비서관실 행정관 (어제, MBC라디오 '김종배의 시선집중')]""(공동주택은) 경호 취약성도 많고 여러 가지 문제가 있습니다",0
"민주, 권리당원 투표·여론조사 '반반' 경선 룰 가닥","핵심요약 ""모든 후보가 불만 가지는 안 만드는 게 준비위 소명"" 내일 당원토론회와 의원총회…당무위 등 의결로 확정 연합뉴스 더불어민주당이 20대 대선 경선에서 권리당원 투표와 일반 국민을 대상으로 한 여론조사를 병행해 대선 후보를 선출하는 쪽으로 가닥을 잡았다",0
민주 “내란 동조 세력의 권한 남용”… 재탄핵으로 가나,‘대장동’ 재판 출석하는 이재명 - 이재명 더불어민주당 대표가 8일 ‘대장동·백현동·위례신도시·성남FC 사건’ 1심 재판에 출석하기 위해 서울중앙지법에 들어서며 지지자들을 향해 오른손을 들고 있다,1
"전한길·윤상현 만난 尹... ""감옥 가고 죽어도 상관없지만, 지지자들에 미안""",인물이다,1
"최윤희 전 합동참모의장 “中, 서해 장악하려 구조물 설치… 안보차원 강력 대응해야” [세계초대석]","미국이 해상교통로를 보호해줬지만, 지금 미 해군은 중국 대응만으로도 벅차다",1
만장일치 '윤 파면'...정치권 조기 대선 국면으로,이제 정치권 본격적으로 대선 국면으로 접어들었다고 봐야겠죠? [조청래] 그렇죠,1
"'양자대결' 보수주자에 우위 이재명, 무당층에선 유승민·오세훈에 10%p 안팎 밀려","[앵커]대선 레이스가 본격화하면서 관련 여론조사도 쏟아지고 있는데, 오늘 눈여겨볼 만한 결과가 하나 나왔습니다",0
이재명·한동훈 대선 동시 출격…본격 대선 정국으로,이 전 대표를 정조준하기도 했다,0
"김문수, 출마 선언 뒤 국민의힘 입당할 듯",[앵커] 국민의힘은 오늘 황우여 전 의원을 위원장으로 하는 당 경선관리위원회를 출범했습니다,1
"한동훈, 국회 앞 캠프…안철수, 이번주 출마 선언",[앵커] 탄핵에 찬성했던 주자들도 하나 둘 침묵을 깨고 있습니다,0
"‘관세 폭탄’ 속…한덕수, 트럼프와 첫 28분 통화서 무슨 얘기했나?","5개월 만에 한미 정상 차원 소통 트럼프, 작년 尹과 12분간 통화 동맹·상호관세·조선협력 등 논의 주목 도널드 트럼프 미국 대통령과 한덕수 대통령 권한대행 국무총리",0
"한계 드러난 ‘87체제’…연합·상생 위한 ‘새 헌법’ 더는 미룰 수 없다[광복 80년 새 나라, 새 헌법, 새 미래]","④ 새 헌법, 새 민주공화국 | 박명림 교수 우원식 국회의장이 지난 6일 국회 사랑재에서 진행한 개헌 특별담화에서 오는 대통령 선거일에 개헌 국민투표를 동시에 시행할 것을 제안하고 있다",1
"[속보] 트럼프 ""한덕수 대행과 관세·조선·방위비 등 논의""","연합뉴스TV 속보(CG) 트럼프 ""한덕수 대행과 관세·조선·방위비 등 논의""연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",0
“진짜 대한민국 만들 것”… 이재명 대선 출마 선언,외교 분야 목표로는 국익 우선 원칙을 내걸었다,0
초고속으로 권력 정점에 선 ‘정치인 윤석열’...1060일만에 불명예 퇴진,정치 입문부터 파면까지 정치입문 9개월만에 대통령 당선 용산시대 열고 원전외교 부활 임기 내내 김건희 리스크 시달려 의정갈등도 대화없이 악화일로 느닷없는 계엄선포 부메랑으로 파면 결정후 尹 “기대 부응못해 죄송” 윤석열 전 대통령이 4일 헌법재판소의 파면 결정으로 대통령직에서 물러났다,1
"현직 대통령 파면...막 오른 조기 대선, 잠룡 '꿈틀'",재보궐선거를 보세요,1
"'대권 도전' 홍준표 ""패전 처리 투수 아닌, 구원투수 되겠다""","""민심과 당심에서 모두 이겨 제7공화국 선진대국 시대 열 것"" 홍준표 대구시장 페이스북 사실상 대선 출마를 선언한 홍준표 대구시장이 ""패전 처리 투수 아닌 대한민국 구원투수 되겠다""고 6일 밝혔다",1
[권순욱 칼럼] `국군 통수권자` 한덕수 대통령 권한대행,원칙'은 단순히 합법이면 된다는 이야기가 아니다,1
"국민의힘, 탄핵심판 전날까지 계엄 옹호‥""계엄으로 '제왕적 의회' 드러나""","여전히 비상계엄의 논리를 설파한 겁니다.""윤 대통령이 직무에 복귀하면 개헌에 나서겠다""고도 예고했는데 그 이유도 ""87년 헌법체계가 제왕적 국회를 견제할 수단이 없기 때문""이라며 ""야당의 의회 독재"" 탓을 되풀이했습니다.""탄핵 기각! 탄핵 기각!""헌법재판소 앞에서 밤샘 시위를 이어 온 여당 의원들은 마지막 날까지도 헌재 압박을 이어갔습니다.탄핵심판 대상은 윤 대통령인데도 ""민주당을 심판할 거""라는 주장을 이어갔습니다.[나경원/국민의힘 의원]""대통령 탄핵에 대한 선고가 아니라 결국 민주당이 그동안 국정을 파탄 내고, 국정을 마비시킨 그 부분에 대한 탄핵이 될 거라고…""국민의힘 일부 의원들은 헌재 재판정을 찾아 탄핵심판 선고를 직접 지켜볼 예정입니다.국민의힘은 선고 직전 지도부 회의를 열고 상황을 점검하고, 선고가 이뤄진 뒤 다시 비상 의원총회를 열고 결과에 따른 대응책을 논의할 계획입니다.MBC뉴스 고재민입니다",1
"관저 비우는 윤 전 대통령에 민주 ""법의 심판 기다려라""","【 앵커멘트 】 민주당은 파면 뒤 1주일 만에 관저를 비우는 윤석열 전 대통령에게 ""자숙하며 법의 심판을 기다리라""고 날을 세웠습니다",0
2017년 ‘문재인의 길’ 따라 걷는 2025년 이재명,다만 이 전 대표에게는 8년 전의 ‘성남시장 이재명’이 없다는 차이점이 있다,0
"정부, 이완규·함상훈 청문요청서 다음주 초 국회로 보낼 듯",▲ 한덕수 대통령 권한대행 국무총리 한덕수 대통령 권한대행이 대통령 추천 몫 헌법재판관으로 지명한 이완규 법제처장과 함상훈 서울고등법원 부장판사에 대한 인사청문요청서가 이르면 다음 주 초에 국회로 송부될 것으로 관측됩니다,0
“수사결과 발표하라”…故 장제원 ‘공소권 없음’ 결정에 여성단체 반발,고 장제원 전 국회의원의 발인식이 4일 오전 부산 해운대구 해운대백병원 장례식장에서 열리고 있다,0
"민주, '당원 50%·여론조사 50%' 대선 경선룰 확정","더불어민주당이 권리당원 투표와 일반 국민 여론조사 결과를 각각 50%씩 반영해 조기 대선 후보를 선출하기로 했습니다.이춘석 대선특별당규준비위원장은 ""시대적 상황에 따라 민주당 공직 후보 선출 방식이 변화해 왔다""며 ""치열한 논의 끝에 국민경선에서 국민참여경선으로 바꾸기로 결정했다""고 말했습니다.이에 따라 12개월 전에 민주당에 가입해 6개월 이상 당비를 낸 권리당원 110만 명이 50% 투표권을 갖게 되며, 국민 여론조사는 안심번호를 통해 추출된 100만 명을 대상으로 2개 여론조사기관에 의뢰해 진행됩니다.이 위원장은 ""이른바 '역선택' 가능성을 조금이라도 낮출 방법이 무엇인지 고민한 끝에, 안심번호를 추출해 여론조사를 하는 게 가장 효율적인 방법이라고 판단했다""고 설명했습니다.또 비명계 주자들 사이에서 반발이 나오는 데 대해선, ""동의하지 않는 후보들이 있을 수 있지만, 시대적 소명과 조기 대선이 열리게 된 시간적 급박성 등을 고려해 도출한 방식""이라며, ""후보들이 경선에 잘 참여할 수 있게 노력하겠다""고 말했습니다.",0
"헌재 전원일치 尹 파면…""국민신임 배반한 용납불가 중대위법""(종합2보)",있다,0
60일 더 늘어난 ‘한덕수 체제’...대선·관세폭탄·민생추경에 집중,"“다음 정부 출범 차질없도록 공명정대한 선거관리 최선” 美, 상호관세 25% 협상 여지 ‘미국통’ 韓의 히든카드 기대 산불·내수회복 추경 시급 “국회와 소통해 경제 살리기” 한덕수 대통령 권한대행 국무총리가 4일 정부서울청사에서 대국민 담화를 하고 있다",0
"나경원, 김문수와 후보 압축 가능성에는 이렇게 답했다 [현장영상]",오늘(12일) 김문수 전 고용노동부 장관과 '햄버거 회동'을 한 나경원 국민의힘 의원이 후보 연대 가능성에 대해 언급했습니다,0
날개 접은 오세훈…지지율 정체·韓 차출론·명태균·토허제 '발목',받았다,0
파면된 尹 관저 떠나면서도 반성 없었다... 대통령실 직원 200명이 배웅,"수습하고 그만 울고 자유와 번영을 위해 더욱 힘써달라""고 당부했다고 대통령실 관계자가 전했다",0
"김천시장 재선거, 국힘 배낙호 후보 당선",2일 치러진 경북 김천시장 재선거에서 국민의힘 배낙호 후보가 당선됐다,0
"“퇴장은 있었지만 사과는 없었다”.. ‘파면’ 대통령, ‘감사’만 남긴 채 떠나다",비판의 목소리가 이어지고 있습니다,0
"김철현 ""한덕수 지지율 7%쯤 나오면 국힘 잠룡→'잡룡' 될 것""[일타뉴스]",이분이 2012년도에 국정원 댓글 사건 때문에 2013년도인가요? 박근혜 대통령한테 대들었어요,1
民 텃밭서 혁신당 1호 단체장 된 '무소속 3선의 저력',"조국혁신당 정철원 후보, 민주 4선 국회의원 텃밭서 '이변' 흙수저 토박이론에 변화 열망 더해져 시골 장터민심 자극 [담양=뉴시스] 박기웅 기자 = 전남 담양군수 재선거 공식선거운동 첫날인 20일 오전 조국혁신당 정철원 담양군수 후보가 담양군 창평면 창평전통시장에서 유권자들에게 지지를 호소하고 있다",0
오세훈 불출마·민주 오늘 경선룰 확정...요동치는 대선 정국,후보의 틀에서 벗어나지 못하고 있기 때문에,1
"[단독] 한동훈, 대구 진화헬기 사고현장 찾는다…“노후화 해결해야”",유가족에 대한 보살핌에는 언제나 최선을 다해야 한다”며 “노후화 진화 헬기 문제를 해결해 고귀한 생명의 희생을 막아야 한다”고 적었다,1
"[뉴스NIGHT] 한 대행, 헌법재판관 지명...정치권 대선출마 '러시'",그렇게 현명하게 리더십을 발휘하지 못한 업보도 지금 안고 있는 거라고 판단이 됩니다,1
이낙연 “조기 대선 열리면 중도적 대통령과 대연정의 과도 정부 꾸려야” [‘더’ 깊숙한 인터뷰],김 위원장과 트럼프 대통령 사이에 편지가 자주 왔다 갔다 했죠,1
"홍준표 ""30여년 정치 인생 마지막 사명""…조기 대선 출마 시사(종합)","""다음 주부터 절차 밟을 것""…이르면 내주 대구시장직 사퇴할 듯 홍준표 대구시장[연합뉴스 자료사진",0
韓대행 “4·3기록 유네스코 등재 노력”(종합),우원식·이재명 등 추념식 참석…국힘 “아픔 치유 최선” 논평만한덕수 대통령 권한대행 국무총리는 3일 “4·3 기록물이 올해 유네스코 세계기록유산에 등재될 수 있도록 다각적인 노력을 기울이겠다”고 밝혔다,0
"""북한 새 군함, 미사일 50기 이상 탑재할 수직발사대 갖춘 듯"" 관측 나와","함정이 남포에서 만들어지고 있는 4000t급 호위함이며, 수직발사대를 갖춰 함대지 미사일 장착이 가능한 것으로 추정했다",0
"우원식 개헌 제안에 국힘 ‘동참’, 민주 ‘성토’…이재명은 ‘침묵’",당 개헌특위가 먼저 논의해 결정할 사안이라는 태도다,0
"[뉴스NIGHT] 정치권, 본격 '대권 경쟁'...관저 떠나는 윤 부부","같은 경우는 아무래도 대선에 세 번째 출마를 하는 것 아니겠습니까? 또 대선에 출마하는 과정에서 첫 번째 출마 이후에 두 번째, 이번 세 번째 같은 경우는 거의 민주당 야당의 압도적인 지지를 받고 있기 때문에 사실 보수정당에 대한 견제가 상당히 심했습니다",1
[정치맥] 한덕수 대행 재판관 지명…파장 어디까지?,"어제 국회 법사위에서 권한대행이 대통령 몫의 헌법재판관을 임명할 수 없도록 하는 개정안도 통과가 됐는데, 이것도 사실 거부권 행사가 예상되거든요",1
"2025년 조기 대선, 2017년과는 다르다?",'19대 대선' 文 41.08% 당선… 나머지 후보들 58.37% 양당 구도 짙어진 2025년… '표 분산' 없다? 이재명 독주 체제보다 국민의힘 경선 흥행 예상?,1
"정부, G20 정상회의 준비회의 참석 “다자무역 강화 협력”",서울 도렴동 외교부 청사.[연합][헤럴드경제=서정은 기자] 정부는 올해 주요 20개국(G20) 정상회의 준비 회의에서 “무역을 글로벌 경제 성장의 동력으로 활용하기 위해 G20이 다자무역체제를 강화하는 방향으로 지속 협력해 가야 한다”고 밝혔다.송인창 G20 국제협력대사(G20 셰르파)는 지난 3일부터 이틀간 화상으로 열린 제2차 G20 셰르파 회의에 참석해 “우리나라가 다자무역체제의 가장 큰 수혜자였다”며 이같이 말했다,0
"민주, 한대행 헌법재판관 지명에 ""알박기""…철회 총력전",[앵커] 한덕수 대통령 권한대행의 대통령 추천 몫 헌법재판관 후보자 지명을 둘러싼 후폭풍이 가라앉지 않고 있습니다,1
"유시민 ""이재명, 대통령 가능성 상당…검찰 유혹만 안 넘어가면 돼""",된다,0
"한국옵티칼 고용 승계 거부 니토옵티칼, 지난해 77명 신규채용 드러나",토지 무상 임대와 법인세·취득세 감면 등의 혜택을 받았지만 2022년 10월 구미공장이 화재로 전소되면서 희망퇴직을 진행했고 제안을 거부한 노동자 17명을 정리해고했다,1
"문무일 ""2019년 尹 검찰총장 임명 당시 '부적절' 조언""","""尹 본인에게도 '서두르지 말라' 이야기…文정부 인사들한테도 '대안 제시'""""민주주의 시대에 제왕적 대통령제는 웃긴 일…사회의 권력통제 시스템 약해져"" 대담하는 문무일 전 검찰총장[촬영 오규진](서울=연합뉴스) 오규진 기자 = 문무일 전 검찰총장은 8일 윤석열 전 대통령이 서울중앙지검장으로 있던 2019년 검찰총장 후보로 이름이 오르내리자 ""칼을 쓰다가 검찰총장으로 바로 가는 것이 부적절하다""며 사실상 반대했다고 밝혔다",0
"[돌비뉴스] ""직 걸고 막겠다""던 이복현 머뭇대자…권성동 ""빨리 방 빼""","< 사퇴인 듯 아닌 듯 >[기자]어제(1일) 한덕수 권한대행이 상법개정안에 거부권을 행사했습니다.그러자 이복현 금감원장이 항의 표시로 사의를 표명했는데, ""만류받았다"" 오늘 이렇게 밝혔습니다.이복현 금감원장, 지난달 저희가 돌비뉴스에서 ""만약에 상법개정안 거부권이 행사되면 직을 걸고서라도 막겠다""라고 밝혔다고 전해드린 바 있습니다.[앵커]본인 말대로 직을 내려놓으려고는 했지만 반려됐으니까 더 근무한다, 이런 거군요.[기자]일단 그렇게 보입니다",1
"김문수, 장관직 사퇴 “대선 출마”…안철수 출마선언",[앵커] 국민의힘 등 보수진영 잠룡들의 등판 일정이 속속 확정되고 있습니다,0
"[뉴스프라임] 尹, 886일 만에 사저로…""나라 위한 새길 찾겠다""",월요일(14일) 첫 공판이 열릴 예정인데요,1
"이준석 ""국힘, 공천 받으면 당선되니 유적지 답사하듯 TK 와""","이번 주 전부 대구 올인 전략…""개혁신당은 달라"" ""洪과 일주일 2~3번 연락…吳시장 철학 공유"" 대권에 도전하는 이준석 개혁신당 의원이 11일 오전 대구 동구 동대구역네거리에서 출근길 인사를 하고 있다",1
"[뉴스NIGHT] 한 대행, 헌법재판관 지명...정치권 대선출마 '러시'",극중도 그러니까 극한의 중도를 표방을 했다가 나중에는 홍준표 후보하고 단일화 논란에 휩싸이면서 막판에 지지율이 많이 꺾였는데요,1
"파면당한 윤 ""다 이기고 돌아왔다…어차피 5년 하나 3년 하나""",금요일 퇴근 시간대 교통 통제에도 불만 이어져 [앵커]윤 전 대통령은 파면 일주일만인 어제(11일) 관저에서 나오면서 국민들을 향한 사과는 하지 않았습니다,1
"'단기필마' 김동연의 숨 가쁜 관세외교, 트럼프 외교 핵심 인사까지 만났다",지사는 우선 미시간주에 진출해 있는 한국 기업 9곳의 임직원들과 만나 현장의 애로사항을 상세히 경청했다,0
"[단도직입] ""이게 중대 위헌이 아니라고?"" 헌법학자의 일침","소수, 반대의견도 때로는 있을 수가 있겠고요.그다음에 또 하나 중요한 게 법리적으로 중요한 건 보충 의견, 별개 의견이 있을 수가 있습니다",1
"[포토] 성주 참외, 베트남 수출 선적식",[이데일리 김태형 기자] 농협 경제지주가 월항농협과 함께 4일 베트남에 국내산 참외를 처음으로 수출했다,0
"한동훈, 한덕수 차출론에 “역할 다해줘 고맙, 선택은 존중”…“이기는 선택하자 설득할 것”",수정을 했었어야 하는 문제입니다,1
